adhesivity,particle_size,n
1.0,0.03,0.01
1.0,0.04,0.01
1.0,0.05,0.01
1.0,0.06,0.01
1.0,0.07,0.01
1.0,0.08,0.01
1.0,0.09,0.01
1.0,0.1,0.01
1.0,0.03,0.02
1.0,0.04,0.02
1.0,0.05,0.02
1.0,0.06,0.02
1.0,0.07,0.02
1.0,0.08,0.02
1.0,0.09,0.02
1.0,0.1,0.02
1.0,0.03,0.03
1.0,0.04,0.03
1.0,0.05,0.03
1.0,0.06,0.03
1.0,0.07,0.03
1.0,0.08,0.03
1.0,0.09,0.03
1.0,0.1,0.03
1.0,0.03,0.04
1.0,0.04,0.04
1.0,0.05,0.04
1.0,0.06,0.04
1.0,0.07,0.04
1.0,0.08,0.04
1.0,0.09,0.04
1.0,0.1,0.04
1.0,0.03,0.05
1.0,0.04,0.05
1.0,0.05,0.05
1.0,0.06,0.05
1.0,0.07,0.05
1.0,0.08,0.05
1.0,0.09,0.05
1.0,0.1,0.05
1.0,0.03,0.06
1.0,0.04,0.06
1.0,0.05,0.06
1.0,0.06,0.06
1.0,0.07,0.06
1.0,0.08,0.06
1.0,0.09,0.06
1.0,0.1,0.06
1.0,0.03,0.07
1.0,0.04,0.07
1.0,0.05,0.07
1.0,0.06,0.07
1.0,0.07,0.07
1.0,0.08,0.07
1.0,0.09,0.07
1.0,0.1,0.07
1.0,0.03,0.08
1.0,0.04,0.08
1.0,0.05,0.08
1.0,0.06,0.08
1.0,0.07,0.08
1.0,0.08,0.08
1.0,0.09,0.08
1.0,0.1,0.08
1.0,0.03,0.09
1.0,0.04,0.09
1.0,0.05,0.09
1.0,0.06,0.09
1.0,0.07,0.09
1.0,0.08,0.09
1.0,0.09,0.09
1.0,0.1,0.09
1.0,0.03,0.1
1.0,0.04,0.1
1.0,0.05,0.1
1.0,0.06,0.1
1.0,0.07,0.1
1.0,0.08,0.1
1.0,0.09,0.1
1.0,0.1,0.1
1.0,0.03,0.11
1.0,0.04,0.11
1.0,0.05,0.11
1.0,0.06,0.11
1.0,0.07,0.11
1.0,0.08,0.11
1.0,0.09,0.11
1.0,0.1,0.11
1.0,0.03,0.12
1.0,0.04,0.12
1.0,0.05,0.12
1.0,0.06,0.12
1.0,0.07,0.12
1.0,0.08,0.12
1.0,0.09,0.12
1.0,0.1,0.12
1.0,0.03,0.13
1.0,0.04,0.13
1.0,0.05,0.13
1.0,0.06,0.13
1.0,0.07,0.13
1.0,0.08,0.13
1.0,0.09,0.13
1.0,0.1,0.13
1.0,0.03,0.14
1.0,0.04,0.14
1.0,0.05,0.14
1.0,0.06,0.14
1.0,0.07,0.14
1.0,0.08,0.14
1.0,0.09,0.14
1.0,0.1,0.14
1.0,0.03,0.15
1.0,0.04,0.15
1.0,0.05,0.15
1.0,0.06,0.15
1.0,0.07,0.15
1.0,0.08,0.15
1.0,0.09,0.15
1.0,0.1,0.15
1.0,0.03,0.16
1.0,0.04,0.16
1.0,0.05,0.16
1.0,0.06,0.16
1.0,0.07,0.16
1.0,0.08,0.16
1.0,0.09,0.16
1.0,0.1,0.16
1.0,0.03,0.17
1.0,0.04,0.17
1.0,0.05,0.17
1.0,0.06,0.17
1.0,0.07,0.17
1.0,0.08,0.17
1.0,0.09,0.17
1.0,0.1,0.17
1.0,0.03,0.18
1.0,0.04,0.18
1.0,0.05,0.18
1.0,0.06,0.18
1.0,0.07,0.18
1.0,0.08,0.18
1.0,0.09,0.18
1.0,0.1,0.18
1.0,0.03,0.19
1.0,0.04,0.19
1.0,0.05,0.19
1.0,0.06,0.19
1.0,0.07,0.19
1.0,0.08,0.19
1.0,0.09,0.19
1.0,0.1,0.19
1.0,0.03,0.2
1.0,0.04,0.2
1.0,0.05,0.2
1.0,0.06,0.2
1.0,0.07,0.2
1.0,0.08,0.2
1.0,0.09,0.2
1.0,0.1,0.2
1.0,0.03,0.21
1.0,0.04,0.21
1.0,0.05,0.21
1.0,0.06,0.21
1.0,0.07,0.21
1.0,0.08,0.21
1.0,0.09,0.21
1.0,0.1,0.21
1.0,0.03,0.22
1.0,0.04,0.22
1.0,0.05,0.22
1.0,0.06,0.22
1.0,0.07,0.22
1.0,0.08,0.22
1.0,0.09,0.22
1.0,0.1,0.22
1.0,0.03,0.23
1.0,0.04,0.23
1.0,0.05,0.23
1.0,0.06,0.23
1.0,0.07,0.23
1.0,0.08,0.23
1.0,0.09,0.23
1.0,0.1,0.23
1.0,0.03,0.24
1.0,0.04,0.24
1.0,0.05,0.24
1.0,0.06,0.24
1.0,0.07,0.24
1.0,0.08,0.24
1.0,0.09,0.24
1.0,0.1,0.24
1.0,0.03,0.25
1.0,0.04,0.25
1.0,0.05,0.25
1.0,0.06,0.25
1.0,0.07,0.25
1.0,0.08,0.25
1.0,0.09,0.25
1.0,0.1,0.25
1.0,0.03,0.26
1.0,0.04,0.26
1.0,0.05,0.26
1.0,0.06,0.26
1.0,0.07,0.26
1.0,0.08,0.26
1.0,0.09,0.26
1.0,0.1,0.26
1.0,0.03,0.27
1.0,0.04,0.27
1.0,0.05,0.27
1.0,0.06,0.27
1.0,0.07,0.27
1.0,0.08,0.27
1.0,0.09,0.27
1.0,0.1,0.27
1.0,0.03,0.28
1.0,0.04,0.28
1.0,0.05,0.28
1.0,0.06,0.28
1.0,0.07,0.28
1.0,0.08,0.28
1.0,0.09,0.28
1.0,0.1,0.28
1.0,0.03,0.29
1.0,0.04,0.29
1.0,0.05,0.29
1.0,0.06,0.29
1.0,0.07,0.29
1.0,0.08,0.29
1.0,0.09,0.29
1.0,0.1,0.29
1.0,0.03,0.3
1.0,0.04,0.3
1.0,0.05,0.3
1.0,0.06,0.3
1.0,0.07,0.3
1.0,0.08,0.3
1.0,0.09,0.3
1.0,0.1,0.3
1.0,0.03,0.31
1.0,0.04,0.31
1.0,0.05,0.31
1.0,0.06,0.31
1.0,0.07,0.31
1.0,0.08,0.31
1.0,0.09,0.31
1.0,0.1,0.31
1.0,0.03,0.32
1.0,0.04,0.32
1.0,0.05,0.32
1.0,0.06,0.32
1.0,0.07,0.32
